doc_id,title,source,date,total_chunks,avg_chunk_length,min_chunk_length,max_chunk_length
3df9141b25d144,South Charleston Woman Sentenced to Prison for Role in Kanawha County Drug Trafficking Organization,FBI - National,2026-03-09,1,162.0,162,162
429abe5faf8723,Inland Empire Man Federally Charged with Deliberately Setting Fires That Destroyed Massive Warehouse in Ontario,FBI - National,2026-04-10,1,167.0,167,167
42cb05fc1606a5,Indiana Man Who Targeted a Local Christian Church for Vandalism Sentenced to Federal Prison,FBI - National,2026-03-03,1,205.0,205,205
431db7e737e693,Farmington Woman Sentenced for Assault on Motorcyclist,FBI - National,2026-04-13,1,165.0,165,165
4377a5cb38623b,"Rochester Man Arrested, Charged with Production and Receipt of Child Pornography and Enticement of a Minor",FBI - National,2026-04-16,1,156.0,156,156
4395e712ea5f59,Former Gladwyne Entrepreneur Who Bilked Investors Out of Millions of Dollars Sentenced to Over Nine Years in Prison,FBI - National,2026-03-04,1,183.0,183,183
448d16f2af98aa,"FBI Offers Reward of Up To $10,000 for Information About the Homicide of Yunique Puckett",FBI - National,2026-03-06,1,423.0,423,423
45c14e5e5f8467,District of Arizona Charges 240 Individuals for Immigration-Related Criminal Conduct This Week,FBI - National,2026-04-17,1,176.0,176,176
464f1c689077f3,Raleigh Man Arrested for Child Sexual Exploitation,FBI - National,2026-03-10,1,187.0,187,187
47338ae0aa5b64,Repeat Offender Guilty of Armed Drug Trafficking in Columbus,FBI - National,2026-03-05,1,169.0,169,169
478a1cf0995a8b,Swiss Businessman Extradited to the United States Pleads Guilty to International Securities Fraud Scheme,FBI - National,2026-03-10,1,153.0,153,153
48a0f585ca577f,Former Ohio Senate Candidate Sentenced to Federal Prison for $4.5 Million Fraud Scheme,FBI - National,2026-04-09,1,160.0,160,160
48c90ebec01362,Alien Guilty of Using False Claim of Citizenship to Illegally Vote,FBI - National,2026-03-06,1,166.0,166,166
49df1ffa4ff96f,"Columbia, Missouri Doctor Arrested, Accused of Health Care Fraud, Illegally Prescribing Drugs",FBI - National,2026-04-22,1,158.0,158,158
4c0c2c79bd0555,Kenosha Man Pleads Guilty to Threatening to Murder Federal Officer,FBI - National,2026-03-06,1,215.0,215,215
4c1ab27a17ec0b,"Butler Man Pleads Guilty to Threatening to Assault and Murder President Trump, Other U.S. Officials, and Immigration and Customs Enforcement Agents",FBI - National,2026-04-13,1,183.0,183,183
4c73cd1a7a4935,Irwin Resident Pleads Guilty to Distributing and Possessing Child Sexual Abuse Material,FBI - National,2026-04-17,1,172.0,172,172
4d07bd2858f0bd,New Orleans Man Guilty of Drug Trafficking and Possession of Gun in Furtherance of Drug Trafficking,FBI - National,2026-04-20,1,172.0,172,172
4d4263427a6394,Pittsburgh Felon Pleads Guilty to Failing to Surrender for 10-Year Term of Imprisonment and Distributing Fentanyl and Heroin While a Fugitive,FBI - National,2026-03-10,1,167.0,167,167
4dc0849699902b,Illinois Man Pleads Guilty to Traveling to Zanesville to Engage in Sex Acts with Minor After Meeting Online,FBI - National,2026-04-07,1,152.0,152,152
4de896e91c8f55,Independence Man Charged after 24 Kilograms of Methamphetamine and Multiple Firearms Seized from Residence,FBI - National,2026-03-12,1,166.0,166,166
509bb10ec81e58,Justice Department Conducts Court-Authorized Disruption of DNS Hijacking Network Controlled by a Russian Military Intelligence Unit,FBI - National,2026-04-07,1,201.0,201,201
512fb85fa0301d,Memphis Resident Sentenced for Federal Kidnapping,FBI - National,2026-04-09,1,157.0,157,157
51f515596f5231,District Resident Charged with Producing Child Pornography,FBI - National,2026-04-07,1,171.0,171,171
528a0494822ae4,"Canyon Country Man Pleads Guilty to Federal Charges, Including Facilitating Crime Tourism Group That Burgled Its Way Through U.S.",FBI - National,2026-04-20,1,218.0,218,218
52dc6be7d9a276,Former Executive of Chicago-Area Nonprofit Sentenced to Prison for $1.9 Million Fraud Schemes,FBI - National,2026-04-08,1,180.0,180,180
54660e47bcfc04,U.S. Authorities Conduct Cyber Operations as Part of Global Crackdown on DDoS-for-Hire Services,FBI - National,2026-04-16,1,168.0,168,168
575487d87259d3,Tennessee Man Who Was Found in Florida with Missing Ohio Teen Charged with Transporting a Minor to Engage in Sexual Activity,FBI - National,2026-04-09,1,163.0,163,163
58304c723835eb,Carter County Resident Sentenced for Robbery and Felony Assault,FBI - National,2026-03-05,1,176.0,176,176
5886bb30a1585b,Alabama Man Pleads Guilty to Enticement of a Minor,FBI - National,2026-04-06,1,162.0,162,162
5a6454fb4aeb64,"Binghamton Man Charged for Threats to President, ICE Agents",FBI - National,2026-03-10,1,158.0,158,158
5a82cee3b0f283,DC Solar Accountant is Last to Be Sentenced for the DC Solar Billion-Dollar Ponzi Scheme,FBI - National,2026-04-13,1,168.0,168,168
5c0d3c0ea3dd3e,Longtime Bucks County Teacher Sentenced to Seven-and-a-Half Years in Prison for Child Pornography Offenses,FBI - National,2026-04-14,1,176.0,176,176
5d00d81a5a62cc,Farmington Man Pleads Guilty to Federal Firearms Charge After Armed Carjacking,FBI - National,2026-04-13,1,161.0,161,161
5d37445c0abde6,Operation Winter SHIELD: FBI Philadelphia on Protecting the Transportation and Logistics,FBI - National,2026-03-03,1,179.0,179,179
5dcf19f1a4ce3c,FBI Releases New Guidance to Help Health Care Organizations Prevent Targeted Violence,FBI - National,2026-03-09,1,170.0,170,170
5f5aa6e3569e0e,"First Assistant U.S. Attorney, FBI SAC Warn Residents of Scam Calls",FBI - National,2026-04-14,1,204.0,204,204
5f9edc2e968fe0,Wilkinsburg Resident Sentenced Following Guilty Plea for Stealing From Another Passenger During Flight,FBI - National,2026-04-08,1,181.0,181,181
629ce404e51639,Former Financial Advisor Sentenced to Five Years in Prison for Running $8.6 Million Ponzi Scheme,FBI - National,2026-04-07,1,155.0,155,155
6311dd58f1447c,Defendant Charged with Damaging the Brooklyn Headquarters of the Chabad-Lubavitch Movement,FBI - National,2026-03-02,1,199.0,199,199
65648e153d445d,"South Carolinians Lose $264 Million to Cybercrime, According to Newly Released 2025 Annual IC3 Report",FBI - National,2026-04-10,1,244.0,244,244
662c19b464566c,FBI Jacksonville Warns Public to Beware of Scammers Impersonating FBI Special Agents in North Florida,FBI - National,2026-04-20,1,244.0,244,244
66673835366329,"FBI Albany, Binghamton Police Announce $50,000 Reward in Aliza Spencer Case",FBI - National,2026-04-14,1,164.0,164,164
67a4fe109732b9,"Open Letter to Parents, Guardians, and Caregivers",FBI - National,2026-04-22,1,224.0,224,224
